character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
绍,shao4,8,2211957,886902,0.4275944791292537,1306773,632713,532721,326141,202250,97273,4070.944,3086.405,2548.904,1575.56,1203.869,1080.811,2261.082,2.6454916560409605,125.72913250114154,3.8971235379962166,3.4375,3.4,3.3
哨,shao4,10,1415,1042,0.15181115181115182,166,220,560,841,559,111,0.517,1.073,2.679,4.063,3.327,1.233,2.149,5.501827339363456,23.73097181223592,4.606758817548972,2.375,2.8,2.5
畲,she1,12,1,0,1,0,0,0,1,0,0,0,0,0,0.005,0,0,0.001,5.999565922520682,9.067932318496652,4.997059712651112,2.5,2.6,2.3
佘,she2,7,123,77,0.23,35,16,18,43,74,14,0.109,0.078,0.086,0.208,0.44,0.156,0.18,5.928117992693875,1.2219199578116058,5.653271590087708,2.875,2.7,3
舍,she3,8,2019,4663,-0.3956899131996408,3463,1218,831,625,400,145,10.788,5.941,3.976,3.019,2.381,1.611,4.619,5.2503409679051005,86.30613596753551,4.058955232546475,2.75,2.9,3
设,she4,6,116743,4002,0.9337115408505529,41559,33197,33698,8953,2456,882,129.467,161.937,161.234,43.251,14.619,9.8,86.718,4.056911278942369,762.5423652511689,3.117166861051093,2.625,2.7,2.9
社,she4,7,240911,105236,0.3919577520533184,145448,110885,66223,17098,4412,903,453.109,540.902,316.856,82.599,26.262,10.033,238.294,3.621068190645064,1841.4333764220896,2.734608207553245,2.875,3,3.2
涉,she4,10,406,136,0.4981549815498155,97,59,81,129,143,33,0.302,0.288,0.388,0.623,0.851,0.367,0.47,5.8326826652518236,87.20649804171249,4.054499419860156,2.625,2.9,3.2
滠,she4,13,44,7,0.7254901960784313,1,0,1,19,17,13,0.003,0,0.005,0.092,0.101,0.144,0.058,5.975514332300833,0,6,2.875,2.8,3.1
申,shen1,5,434090,71205,0.7181646364994706,233887,89687,56536,48955,42035,34377,728.62,437.498,270.507,236.498,250.208,381.967,384.216,3.414295682691323,55.37226756188382,4.2489344954298245,3.4375,2.9,2.9
伸,shen1,7,8863,1045,0.7890593459830441,2332,744,820,1797,2533,1665,7.265,3.629,3.923,8.681,15.077,18.5,9.513,4.9782733355862225,134.21826062909585,3.868964654881517,2.4375,2.8,2.5
身,shen1,7,6672,532,0.8523042754025542,5448,576,357,345,290,188,16.972,2.81,1.708,1.667,1.726,2.089,4.495,5.26003230324049,1112.7189005292844,2.9532244100186786,2.5,2.6,2.6
诜,shen1,8,1,2,-0.3333333333333333,2,1,0,0,0,0,0.006,0.005,0,0,0,0,0.002,5.999132278468773,0.38586946036155967,5.858277675434597,2.875,2.5,3
绅,shen1,8,6497,320,0.9061170602904504,933,140,204,789,2153,2640,2.907,0.683,0.976,3.812,12.815,29.333,8.421,5.025902996205869,15.820647874823946,4.774157280652123,3.75,3.8,3.9
珅,shen1,9,10357,3432,0.5022119080426427,158,224,789,3412,3971,5238,0.492,1.093,3.775,16.483,23.637,58.2,17.28,4.738023808602187,0,6,3.75,3.3,3.6
莘,shen1,10,3493,6239,-0.2821619399917797,754,552,799,1167,2328,4132,2.349,2.693,3.823,5.638,13.857,45.911,12.379,4.873576346262661,1.0289852276308258,5.692721114909371,3.5625,3.8,3.8
深,shen1,11,233202,19056,0.8489165854006613,86626,40594,33571,36199,35426,19711,269.863,198.02,160.627,174.874,210.869,219.011,205.544,3.684987416541857,617.3911365784954,3.208736743802921,3.3125,3.4,3.4
燊,shen1,16,38884,3767,0.8233570139035427,4050,1391,2093,6468,14589,14039,12.617,6.785,10.014,31.246,86.839,155.989,50.582,4.2875018228781006,0,6,3.625,3.2,3.5
