character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
阿,a1,7,277856,598454,-0.3658499845944928,501181,87732,79767,105630,85218,17032,1561.312,427.961,381.66,510.29,507.25,189.244,596.286,3.2238176647171892,217.18019460683118,3.6611846752112416,3.125,3.3,2.4
啊,a1,10,2726,5330,-0.32323733862959286,849,675,1067,2578,2425,460,2.645,3.293,5.105,12.454,14.435,5.111,7.174,5.087565366624426,263.741776157126,3.5771775217778057,2.5625,2.8,2
皑,ai2,11,392,640,-0.24031007751937986,78,126,257,254,212,105,0.243,0.615,1.23,1.227,1.262,1.167,0.957,5.708409174341999,3.0869556828924773,5.388600071556721,3.75,3.3,3.6
蔼,ai3,14,1735,7691,-0.6318692976872481,2455,902,1106,1411,2286,1258,7.648,4.4,5.292,6.816,13.607,13.978,8.624,5.0166443856682115,5.852353482150321,5.164160241826246,4,4.3,2.9
霭,ai3,19,496,2499,-0.6687813021702838,748,230,305,548,758,418,2.33,1.122,1.459,2.647,4.512,4.644,2.786,5.421819390372222,2.186593608715505,5.496673319251752,3.75,3.6,3
艾,ai4,5,60098,247092,-0.6087242423255965,94001,67663,55262,32865,29895,27476,292.838,330.063,264.411,158.768,177.946,305.289,254.886,3.5919534745234087,27.075173802036105,4.551677546516848,3.5,3.5,3
爱,ai4,10,1443486,8347869,-0.7051509213995407,3447308,2786913,2302717,888139,284567,80397,10739.277,13594.698,11017.785,4290.527,1693.851,893.3,7038.24,2.152474227452131,504.8458773063739,3.2959817851982813,4.4375,4.6,2.8
叆,ai4,14,11,34,-0.5111111111111111,6,2,6,9,9,13,0.019,0.01,0.029,0.043,0.054,0.144,0.05,5.978810700930062,0,6,3,3.1,2.5
安,an1,6,4610624,1114890,0.6105537424238243,2305421,1233734,871545,559071,461366,292854,7181.997,6018.215,4170.072,2700.826,2746.226,3253.933,4345.212,2.361889093435509,633.7905886438618,3.197369520685836,4.5625,4.3,3.5
桉,an1,10,4250,1711,0.42593524576413355,108,137,257,720,1799,2940,0.336,0.668,1.23,3.478,10.708,32.667,8.181,5.037110012608209,3.4085135665271107,5.355707818394719,3.4375,3.4,3.2
谙,an1,11,124,134,-0.03875968992248062,12,19,24,33,73,97,0.037,0.093,0.115,0.159,0.435,1.078,0.32,5.87942606879415,2.5724630690770645,5.4470322521042265,3.1875,3.2,3.2
岸,an4,8,22487,11265,0.33248400094809194,2388,3330,7153,10446,7977,2440,7.439,16.244,34.225,50.464,47.482,27.111,30.494,4.501772176848216,114.28167184374858,3.9382397339007835,3.4375,3.3,3.3
昂,ang2,8,114849,10247,0.8361738185073864,7707,5057,7526,18131,39664,46939,24.009,24.668,36.01,87.589,236.095,521.544,154.986,3.8069143785403394,35.69292508344427,4.435417665813883,4.375,3.7,3.9
敖,ao2,10,17441,2114,0.7837893121963693,8147,1490,1022,1451,3583,3860,25.38,7.268,4.89,7.01,21.327,42.889,18.127,4.718353142132486,2.4438399156232116,5.462957044610175,3.4375,2.8,3.6
遨,ao2,13,1107,130,0.7898140662894099,21,27,59,206,440,484,0.065,0.132,0.282,0.995,2.619,5.378,1.579,5.588548657862063,1.993658878534725,5.523797688164724,4,3.4,3.7
熬,ao2,14,1475,105,0.8670886075949367,360,121,210,367,429,95,1.121,0.59,1.005,1.773,2.554,1.056,1.35,5.628932137728264,18.97191513444335,4.699580288036579,1.6875,2.1,2.7
翱,ao2,16,15014,1310,0.8395001225189904,713,567,1033,2585,4914,6505,2.221,2.766,4.943,12.488,29.25,72.278,20.658,4.664381650622395,2.379528338896285,5.471143907446653,4.5,3.5,4.1
鳌,ao2,18,6121,128,0.9590334453512562,2853,544,537,976,862,531,8.888,2.654,2.569,4.715,5.131,5.9,4.976,5.223589411192657,2.5724630690770645,5.4470322521042265,2,2.2,3.2
傲,ao4,12,93106,33758,0.46780804641190565,7337,3872,4961,11388,46882,52502,22.857,18.888,23.737,55.014,279.06,583.356,163.819,3.7829927251660616,26.110500151132207,4.566862470214676,3.375,2.6,3.7
奥,ao4,12,124385,28948,0.6224165704708053,736,362,785,5541,43886,102197,2.293,1.766,3.756,26.768,261.226,1135.522,238.555,3.6205947601022337,70.61411124616542,4.145001393439183,3.9375,2.8,3.5
骜,ao4,13,4052,423,0.8109497206703911,32,34,99,347,1629,2334,0.1,0.166,0.474,1.676,9.696,25.933,6.341,5.134244775928549,0.4501810370884863,5.8385777781093235,2.6875,2.5,3.8
澳,ao4,15,46028,10316,0.6338208149936106,176,112,216,1008,35596,19349,0.548,0.546,1.033,4.87,211.881,214.989,72.311,4.134830856451902,28.039847452940002,4.537005669325952,3.125,2.8,3.1
鏊,ao4,18,180,15,0.8461538461538461,11,7,10,19,60,88,0.034,0.034,0.048,0.092,0.357,0.978,0.257,5.900664722314042,0.4501810370884863,5.8385777781093235,2.9375,2.5,3
八,ba1,2,43674,38700,0.060383130599460995,36689,17762,14795,7961,4144,1029,114.296,86.644,70.789,38.459,24.667,11.433,57.715,4.231250934782467,563.4337237046041,3.2483870459785047,2.0625,2.8,2.5
巴,ba1,4,41015,23492,0.27164493775869286,20428,12027,12304,11361,6629,1765,63.639,58.668,58.871,54.884,39.458,19.611,49.189,4.299391457412353,277.24720726978063,3.5555691859273435,2.8125,2.8,2.2
粑,ba1,10,1,1,0,0,0,0,0,2,0,0,0,0,0,0.012,0,0.002,5.999132278468773,3.0226441061655507,5.39548838889668,1.125,2.2,1.6
拔,ba2,8,667,96,0.7483617300131061,351,89,88,137,80,18,1.093,0.434,0.421,0.662,0.476,0.2,0.548,5.810229043653126,71.70740805052317,4.138421337262605,2.1875,2.3,2.2
白,bai2,5,80178,207742,-0.44305362600722425,120806,51537,38841,39924,28567,8099,376.343,251.4,185.842,192.87,170.042,89.989,211.081,3.6734982374936633,776.0477963638235,3.1095522668378948,3.3125,3.3,2.8
百,bai3,6,276137,101455,0.4626210301065701,131600,83055,64573,50461,32166,15492,409.969,405.146,308.962,243.773,191.464,172.133,288.575,3.5382389349842507,647.681889216878,3.1879682271244527,3.5625,3.8,3.2
佰,bai3,8,136942,39523,0.5520584818519253,64367,38247,30236,22526,14149,7084,200.52,186.571,144.67,108.821,84.22,78.711,133.919,3.8699268863984257,0.38586946036155967,5.858277675434597,3.5625,3.3,3.2
柏,bai3,9,820862,158797,0.6758116854946467,368687,184830,133181,109038,99347,84291,1148.558,901.61,637.23,526.754,591.351,936.567,790.345,3.101634137323155,36.91484504125587,4.421190714644187,4.25,3.6,3.4
拜,bai4,9,662,339,0.3226773226773227,206,107,153,205,255,74,0.642,0.522,0.732,0.99,1.518,0.822,0.871,5.72792621249999,77.55976153267349,4.104799843515419,2.4375,2.9,3
班,ban1,10,5120,2273,0.38509400784525905,1558,1159,1171,1780,1439,287,4.854,5.654,5.603,8.599,8.565,3.189,6.077,5.150150804394742,255.70282906626022,3.590569345036794,2.75,2.7,2.9
板,ban3,8,1220,2912,-0.409486931268151,2014,656,534,475,349,102,6.274,3.2,2.555,2.295,2.077,1.133,2.922,5.406492410668235,196.72911320766852,3.703929381396599,2.1875,2.3,2.8
邦,bang1,6,673998,154210,0.6276056256399358,357808,153670,123211,84030,68308,41017,1114.667,749.61,589.526,405.942,406.595,455.744,620.347,3.2066657941920798,57.816107477507025,4.230503721022044,3.9375,3.7,3.6
帮,bang1,9,293280,125144,0.40183163489665985,167513,88421,75438,46555,30126,9602,521.847,431.322,360.947,224.903,179.321,106.689,304.172,3.5154553160754034,249.20735981684064,3.601699919739196,3.125,4,3.1
榜,bang3,14,63269,3175,0.9044307988682199,31786,10085,7866,7407,6512,3189,99.022,49.195,37.636,35.783,38.762,35.433,49.305,4.298388846663942,20.451081399162664,4.668550809127233,3.375,3.1,3.5
包,bao1,5,5347,1998,0.45595643294758337,3028,1065,971,1106,961,209,9.433,5.195,4.646,5.343,5.72,2.322,5.443,5.190911868653654,513.3993170110552,3.288699616713941,2.875,3.1,2.7
薄,bao2,16,2067,611,0.5436893203883495,109,91,159,635,1155,522,0.34,0.444,0.761,3.068,6.875,5.8,2.881,5.4110563572599855,96.53167666711684,4.0108543097633165,2.125,2.1,2.3
宝,bao3,8,5172285,2127202,0.4171639733038774,2784819,1523802,1154927,962086,603022,270588,8675.449,7433.18,5525.967,4647.758,3589.417,3006.533,5479.717,2.2611626223962302,158.14216717151254,3.7982147320847877,4.25,3.8,3.4
保,bao3,9,3517598,832890,0.6171050236203387,1837397,1056510,763489,445419,191225,56937,5723.978,5153.707,3653.057,2151.783,1138.244,632.633,3075.567,2.511933622616113,738.2969008251175,3.1311811143859685,4.125,4.3,3.5
葆,bao3,12,7780,5287,0.1907859493380271,4046,1982,2239,1500,1635,1654,12.604,9.668,10.713,7.246,9.732,18.378,11.39,4.906928693623937,4.694745101065642,5.2445257103343295,4.1875,3.9,3.2
报,bao4,7,11204,860,0.8574270557029178,3405,1868,2193,2694,1617,317,10.607,9.112,10.493,13.014,9.625,3.522,9.396,4.983133729171025,605.2362485771064,3.2173580994986524,2.9375,3,3.1
抱,bao4,8,845,702,0.09243697478991597,706,77,90,229,320,126,2.199,0.376,0.431,1.106,1.905,1.4,1.236,5.650528200785614,112.99544030921005,3.9431125196122343,2.5625,3.3,2.8
豹,bao4,10,86099,227,0.9947408660195074,11008,11255,16862,25787,17978,3412,34.293,54.902,80.679,124.575,107.012,37.911,73.229,4.129426390146591,12.219199578116056,4.878794840563792,2.875,2.2,3.5
鲍,bao4,13,953,65,0.8722986247544204,78,48,126,306,379,81,0.243,0.234,0.603,1.478,2.256,0.9,0.952,5.709520186669327,7.653077630504266,5.06282940002374,2.625,2.3,2.8
暴,bao4,15,120,34,0.5584415584415584,14,16,23,52,39,10,0.044,0.078,0.11,0.251,0.232,0.111,0.138,5.943857737940948,127.78710295640317,3.890127626070244,1.375,1.4,2.6
杯,bei1,8,2766,1275,0.36896807720861174,863,493,591,1230,699,152,2.688,2.405,2.828,5.942,4.161,1.689,3.286,5.36794783329419,78.84599306721204,4.097746873294598,2.1875,2.6,2.7
北,bei3,5,147648,24703,0.7133407987188934,47181,30801,28077,31350,24221,10529,146.981,150.249,134.34,151.449,144.173,116.989,140.697,3.8486393445107465,711.3503501765352,3.1473063578721625,3.1875,3.1,3.3
贝,bei4,4,86040,200807,-0.40009831024901776,10238,4782,6944,80611,129263,54981,31.894,23.327,33.225,389.425,769.423,610.9,309.699,3.5076601445409086,83.99091920536617,4.070627473693663,4.25,3.7,3.3
备,bei4,8,26759,3003,0.7981990457630536,2201,8002,8098,4858,5541,1067,6.857,39.034,38.746,23.469,32.982,11.856,25.491,4.576901647354533,451.8531380833864,3.3440426184311547,3.4375,3.3,3.3
倍,bei4,10,14784,18071,-0.10004565515142291,2834,1425,1947,9003,12024,5638,8.829,6.951,9.316,43.493,71.571,62.644,33.801,4.458408276506231,111.58058562121766,3.948536496558728,3.4375,3.1,3.3
被,bei4,10,108,328,-0.5045871559633027,15,2,6,177,233,3,0.047,0.01,0.029,0.855,1.387,0.033,0.394,5.855737226238009,1001.5241843684282,2.9989051418887582,1.9375,2.5,2.5
琲,bei4,12,244,1008,-0.610223642172524,117,68,111,389,354,213,0.364,0.332,0.531,1.879,2.107,2.367,1.263,5.645315446045271,0,6,3.4375,3,2.8
焙,bei4,12,977,769,0.11912943871706758,61,26,62,237,627,734,0.19,0.127,0.297,1.145,3.732,8.156,2.275,5.484788695672198,1.0289852276308258,5.692721114909371,2.5,3,2.8
蓓,bei4,13,7003,205658,-0.9341393109220779,9914,12706,24037,81734,60870,23465,30.885,61.98,115.01,394.85,362.321,260.722,204.295,3.687621627827911,1.350543111265459,5.628831779016041,4.4375,3.6,2.9
奔,ben1,8,42332,4410,0.8113046082752129,989,1163,2654,10973,23288,7679,3.081,5.673,12.699,53.01,138.619,85.322,49.734,4.294700895430595,89.90758426424341,4.041399882820847,3.6875,3.1,3.3
犇,ben1,12,15187,658,0.9169454086462606,198,360,770,5522,6900,2094,0.617,1.756,3.684,26.676,41.071,23.267,16.179,4.765002120313969,0,6,3.625,3,3
本,ben3,5,1096052,401865,0.4634348899171316,711590,318846,236043,130050,71536,29278,2216.791,1555.346,1129.392,628.261,425.81,325.311,1046.819,2.979713730797079,2041.2494453126506,2.6898912132253376,3.25,3.2,3.1
笨,ben4,11,293,209,0.16733067729083664,164,66,45,61,136,30,0.511,0.322,0.215,0.295,0.81,0.333,0.414,5.84955059053912,20.51539297588959,4.667250717176046,1.0625,2.3,1.3
镚,beng4,16,16,0,1,0,0,0,5,7,4,0,0,0,0.024,0.042,0.044,0.018,5.9922522219992604,0,6,2.1875,2.3,2.5
比,bi3,4,5245,3339,0.22204100652376516,1894,1097,1305,1673,1740,874,5.9,5.351,6.244,8.082,10.357,9.711,7.608,5.065097741677686,1197.996051269189,2.921182247188746,2.5625,2.6,3
彼,bi3,8,1446,138,0.8257575757575758,581,81,97,279,335,213,1.81,0.395,0.464,1.348,1.994,2.367,1.396,5.620513186282726,71.12860385998083,4.141892474045543,3.125,3.2,2.9
必,bi4,5,335288,172516,0.32054099613236603,222915,107802,87438,48764,30268,10720,694.439,525.863,418.364,235.575,180.167,119.111,362.253,3.4397907903043645,903.513341436592,3.0435850229782293,3.5,2.8,3.8
毕,bi4,6,22837,13225,0.26654095724030835,9545,6990,7519,6072,4408,1544,29.735,34.098,35.976,29.333,26.238,17.156,28.756,4.526425449963655,127.85141453313011,3.889910809394327,3.3125,2.9,3.3
铋,bi4,10,46,28,0.24324324324324326,8,11,15,16,19,5,0.025,0.054,0.072,0.077,0.113,0.056,0.066,5.972242795309446,0.6431157672692661,5.784331836860114,2.5,2.5,3
弼,bi4,12,6039,391,0.8783825816485226,2666,726,675,936,891,522,8.305,3.541,3.23,4.522,5.304,5.8,5.117,5.213461519502197,9.003620741769726,4.999842781643538,3.0625,3,3.5
碧,bi4,14,222613,2524623,-0.8379367480624161,1197562,601436,483682,245525,167954,46673,3730.723,2933.834,2314.268,1186.111,999.726,518.589,1947.209,2.7103644547069607,27.010862225309175,4.552673522596261,4.1875,3.9,3.1
壁,bi4,16,5184,2918,0.27968402863490494,3492,1188,861,982,1099,484,10.879,5.795,4.12,4.744,6.542,5.378,6.243,5.140081514799284,125.2146398873261,3.8988902674886567,2.75,2.9,2.8
璧,bi4,18,3947,5419,-0.15716421097587016,2736,706,819,1569,1952,1543,8.523,3.444,3.919,7.58,11.619,17.144,8.705,5.013004460275618,6.045288212331101,5.152101235845648,3.75,3.9,3.3
边,bian1,5,5893,3025,0.32159677057636243,1644,1302,1777,2131,1587,468,5.121,6.351,8.502,10.295,9.446,5.2,7.486,5.071296972569403,679.9019891570681,3.166915397091041,2.75,3,2.9
卞,bian4,4,134,187,-0.16510903426791276,29,19,42,120,88,23,0.09,0.093,0.201,0.58,0.524,0.256,0.291,5.88907375773358,1.6077894181731653,5.583727481275167,3,2.8,2.9
变,bian4,8,1927,102972,-0.9632598976158019,38137,26118,18547,14197,7162,888,118.807,127.405,88.742,68.585,42.631,9.867,76.006,4.113475435017476,1309.8981947740413,2.8824310345987345,2.1875,2.8,2.9
标,biao1,9,845697,10698,0.9750162016359274,232141,187695,163788,145201,100401,28032,723.181,915.585,783.675,701.454,597.625,311.467,672.165,3.1718784724674793,448.5089360935862,3.3472616702098215,3.375,3.3,3.4
彪,biao1,11,967676,3401,0.9929954061315426,99982,161564,176365,249194,215077,68404,311.47,788.117,843.852,1203.836,1280.22,760.044,864.59,3.062687769531759,24.181152849324405,4.598924390803262,3.8125,2.2,3.3
飙,biao1,16,3459,90,0.9492814877430262,128,1007,998,645,573,198,0.399,4.912,4.775,3.116,3.411,2.2,3.136,5.383419469914114,0.9646736509038991,5.706709579325387,2.5,1.8,2.7
镖,biao1,16,4281,108,0.950786056049214,538,346,397,1145,1395,568,1.676,1.688,1.9,5.531,8.304,6.311,4.235,5.281083313985139,3.151267259619404,5.381819305734568,2.625,2.2,2.9
镳,biao1,20,232,8,0.9333333333333333,42,29,23,60,54,32,0.131,0.141,0.11,0.29,0.321,0.356,0.225,5.911863911299449,0.7717389207231193,5.751600274346808,2.5625,2.1,2.8
表,biao3,8,9342,1904,0.6613907166992709,4912,2362,1886,1279,631,170,15.302,11.522,9.024,6.179,3.756,1.889,7.945,5.048419655096608,1468.9407240197309,2.832700178007053,2.875,2.9,3
苾,bie2,8,47,297,-0.7267441860465116,62,32,70,62,77,41,0.193,0.156,0.335,0.3,0.458,0.456,0.316,5.8807441107220635,0,6,3.375,2.9,2.9
邠,bin1,6,3,0,1,2,0,1,0,0,0,0.006,0,0.005,0,0,0,0.002,5.999132278468773,0,6,3.0625,2.6,2.8
玢,bin1,8,952,3973,-0.6134010152284264,329,421,684,1726,1268,497,1.025,2.054,3.273,8.338,7.548,5.522,4.627,5.249723084846007,0.32155788363463306,5.87891381021477,3.625,3.3,3.3
宾,bin1,10,508910,42041,0.8473875172202247,59592,74996,132906,170769,90880,22152,185.645,365.834,635.914,824.971,540.952,246.133,466.575,3.3301487174680666,55.50089071533767,4.247944705637075,3.75,3.9,3.4
彬,bin1,11,3332598,471470,0.7521232533172383,662481,564747,757832,830871,677756,310607,2063.804,2754.863,3625.99,4013.87,4034.262,3451.189,3323.996,2.478208872820718,11.576083810846791,4.90045457702453,4.4375,4.2,3.5
斌,bin1,12,4814830,243107,0.903871084198953,647207,813912,1181715,1199966,883879,327804,2016.221,3970.302,5654.139,5796.937,5261.185,3642.267,4390.175,2.357419254760818,17.042567832635555,4.7437016532584595,4.5625,4.1,3.7
滨,bin1,13,425603,55294,0.7700380746812727,54030,72400,106679,120337,84532,43365,168.318,353.171,510.426,581.338,503.167,481.833,433.042,3.3624682440227462,24.8885801933206,4.58689176691215,3.6875,3.7,3.2
缤,bin1,13,2195,2275,-0.017897091722595078,99,178,385,791,1200,1817,0.308,0.868,1.842,3.821,7.143,20.189,5.695,5.174249418651972,6.302534519238808,5.13652638143014,3.9375,3.4,3.2
槟,bin1,14,10546,1806,0.7075777202072538,339,476,1122,3091,4369,2963,1.056,2.322,5.368,14.932,26.006,32.922,13.768,4.8306783163181635,4.115940910523303,5.291074480296173,3.125,2.9,3
镔,bin1,15,9625,895,0.8298479087452472,331,345,1063,2227,3433,3121,1.031,1.683,5.086,10.758,20.435,34.678,12.279,4.876834629097081,0,6,2.875,2.6,2.9
膑,bin4,14,1096,179,0.7192156862745098,30,68,207,395,406,168,0.093,0.332,0.99,1.908,2.417,1.867,1.268,5.644356949779131,1.4148546879923856,5.617108997459784,2.625,2.8,3.3
冰,bing1,6,444612,920261,-0.3484932297730265,63107,85087,179232,342402,405065,289900,196.595,415.059,857.569,1654.116,2411.101,3221.111,1459.259,2.8355701083970906,151.0035821548237,3.8181461772411356,3.75,1.9,3.1
兵,bing1,7,4454868,242185,0.8968778934365867,419475,965303,1590821,1060511,546649,108036,1306.776,4708.795,7611.584,5123.242,3253.863,1200.4,3867.443,2.4124637979191754,323.42291935971394,3.488888471970607,3.625,2.8,3.3
丙,bing3,5,473169,184529,0.43886403790189416,328604,138887,91163,56660,28758,13476,1023.688,677.498,436.187,273.72,171.179,149.733,455.334,3.3407171721164763,20.772639282797297,4.662088922521635,2.4375,2.5,2.6
邴,bing3,7,55,5,0.8333333333333334,3,4,5,17,17,14,0.009,0.02,0.024,0.082,0.101,0.156,0.065,5.972650392225243,0,6,3,2.9,2.8
秉,bing3,8,204130,34801,0.7086941418233716,118021,33922,24057,19430,20561,22775,367.667,165.473,115.105,93.865,122.387,253.056,186.259,3.7275573001630367,11.576083810846791,4.90045457702453,3.875,3.5,3.2
柄,bing3,9,15255,1392,0.8327626599387277,1699,640,874,2080,4678,6683,5.293,3.122,4.182,10.048,27.845,74.256,20.791,4.661722839303228,17.55706044645097,4.731490817610339,2.5625,2.7,3
炳,bing3,9,1598317,336561,0.6521113992716854,949766,364584,235680,176174,133900,76268,2958.773,1778.459,1127.656,851.082,797.024,847.422,1393.403,2.855611691530562,14.598727917012342,4.8069108171037485,3.6875,3.2,3.3
卜,bo,2,21735,12990,0.25183585313174944,9943,4029,3691,5798,5970,5292,30.975,19.654,17.66,28.01,35.536,58.8,31.773,4.484483802016717,28.940209527116977,4.5237451647093225,3.3125,2.9,2.7
波,bo1,8,5517079,1119504,0.662626384692243,512107,927157,1845373,2111097,1000714,240740,1595.349,4522.717,8829.536,10198.536,5956.631,2674.889,5629.61,2.249444552700479,273.9673168567074,3.5607189241781714,3.9375,3.6,3.4
玻,bo1,9,2612,442,0.710543549443353,128,255,593,1114,736,228,0.399,1.244,2.837,5.382,4.381,2.533,2.796,5.420673796244745,83.47642659155075,4.07326446536417,2.8125,2.7,2.8
菠,bo1,11,4139,2508,0.24537385286595456,163,469,1152,2237,1828,828,0.508,2.288,5.512,10.807,10.881,9.2,6.533,5.123032032567415,4.887679831246423,5.230055814720753,2.75,3.2,2.6
伯,bo2,7,542519,139798,0.5902256575755843,360540,130399,78544,52019,38149,22343,1123.178,636.093,375.809,251.3,227.077,248.256,476.952,3.320615716739072,174.9918002739673,3.754507566155886,3.1875,3.1,3.3
泊,bo2,8,23534,5210,0.637489563039243,1675,1359,2153,5188,7223,11154,5.218,6.629,10.301,25.063,42.994,123.933,35.69,4.435452288244052,26.17481172785913,4.565833456104046,3.375,3.3,3.3
勃,bo2,9,65383,7933,0.7835943041082438,4115,4840,9794,21934,20286,12286,12.819,23.61,46.861,105.961,120.75,136.511,74.419,4.122519230314927,60.96737473712643,4.207836902451746,3.875,3.3,3.8
铂,bo2,10,6765,1161,0.7070401211203634,165,189,577,1521,1842,3635,0.514,0.922,2.761,7.348,10.964,40.389,10.483,4.939944635175155,2.894020952711698,5.4096017159843,3.0625,2.5,3.4
博,bo2,12,2060262,283098,0.7583828349037279,44752,38008,86822,447216,803755,925068,139.414,185.405,415.416,2160.464,4784.256,10278.533,2993.915,2.5236154990024855,93.766278867859,4.023346172228237,4.9375,3.9,4.4
渤,bo2,12,19131,2385,0.7783045175683212,1973,1522,2397,4220,4467,6919,6.146,7.424,11.469,20.386,26.589,76.878,24.815,4.588127870616758,7.460142900323487,5.072622301228375,3.9375,3.9,3.7
搏,bo2,13,16639,1463,0.8383604021655066,128,186,479,3025,7050,7236,0.399,0.907,2.292,14.614,41.964,80.4,23.429,4.6120943104875005,27.396731685670737,4.546731642085305,3.25,3.1,3.5
擘,bo4,17,1314,241,0.690032154340836,20,62,391,605,322,155,0.062,0.302,1.871,2.923,1.917,1.722,1.466,5.608006927740287,0,6,3.0625,2.6,3.1
布,bu4,5,41532,13806,0.5010300336116231,15735,9613,9875,9115,7211,3790,49.019,46.893,47.249,44.034,42.923,42.111,45.372,4.333744172807395,489.41109889191154,3.3094397095072448,3.0625,3,2.8
步,bu4,7,144816,41060,0.5582000903828359,95871,35006,25831,14795,9507,4727,298.664,170.761,123.593,71.473,56.589,52.522,128.934,3.886277191649872,699.1954621751462,3.1547807081363675,3.25,3.3,2.9
部,bu4,10,1241,135,0.8037790697674418,225,172,247,331,286,115,0.701,0.839,1.182,1.599,1.702,1.278,1.217,5.654234306885511,1996.8744573710712,2.6994318054914155,3,2.8,3.2
才,cai2,3,4335195,456247,0.8095575402978894,2349981,1021350,705301,415400,223001,73557,7320.813,4982.195,3374.646,2006.763,1327.387,817.3,3304.851,2.480716724671429,995.8647656164586,3.001363753955253,4.5,3.6,3.7
材,cai2,7,57873,1548,0.9478972080577573,16350,6410,7536,9977,11568,7627,50.935,31.268,36.057,48.198,68.857,84.744,53.343,4.264856390071932,299.9491938543857,3.521506815672173,4.1875,3.6,3.9
财,cai2,7,1755371,80700,0.9120949026481002,851503,377392,265547,179808,115413,46470,2652.657,1840.937,1270.56,868.638,686.982,516.333,1306.018,2.8837184313583655,240.97547799579402,3.6162286435680073,3.875,3,3.1
裁,cai2,12,92,26,0.559322033898305,27,12,6,22,35,16,0.084,0.059,0.029,0.106,0.208,0.178,0.111,5.9542859410591324,62.38222942511881,4.1980324888756275,2.25,2.3,2.8
采,cai3,8,10037,66793,-0.7387218534426656,20918,12544,12024,10806,10047,10522,65.165,61.19,57.531,52.203,59.804,116.911,68.801,4.156138355437427,435.0035049809316,3.360510019475085,3.5625,3.2,3.3
彩,cai3,11,321983,4929244,-0.8773684702641877,1583190,1145664,1130032,841367,439348,114791,4932.056,5588.605,5406.852,4064.575,2615.167,1275.456,3980.452,2.3999585157184096,165.66662164856297,3.7781513676903438,4.125,3.8,2.7
菜,cai4,11,599,28378,-0.9586568657901094,15365,6146,4086,2124,1082,218,47.866,29.98,19.55,10.261,6.44,2.422,19.42,4.689944262249108,162.57966596567047,3.786270682985935,1.8125,2.5,2.2
蔡,cai4,14,3451,3272,0.026625018592890078,1226,782,901,1381,1394,1041,3.819,3.815,4.311,6.671,8.298,11.567,6.414,5.129947418306455,33.76357778163648,4.458875533406851,3.125,2.8,2.7
参,can1,8,22501,10045,0.38271984268420084,7106,5983,8110,6874,3793,767,22.137,29.185,38.804,33.208,22.577,8.522,25.739,4.572854838757011,398.41021782331035,3.398580829080942,3.0625,3.2,3.4
灿,can4,7,740373,292290,0.4339101914177229,195181,121941,129266,200366,215442,170647,608.04,594.834,618.498,967.952,1282.393,1896.078,994.633,3.0019007172458574,18.907603557716424,4.700981016431655,4.1875,4.2,3.3
粲,can4,13,2433,2989,-0.10254518627812616,28,43,125,927,1675,2625,0.087,0.21,0.598,4.478,9.97,29.167,7.418,5.074791078587997,0.4501810370884863,5.8385777781093235,4.125,3.7,3.5
璨,can4,17,10272,22151,-0.3663757209388397,133,234,742,6350,11207,13699,0.414,1.141,3.55,30.676,66.708,152.211,42.45,4.362010219215315,1.0289852276308258,5.692721114909371,4.625,4.3,3.6
仓,cang1,4,188522,5293,0.9453809044707582,83463,47395,34446,18557,8120,2421,260.009,231.195,164.813,89.647,48.333,26.9,136.816,3.860700359290997,42.50995221649849,4.361411393657925,2.9375,3,2.9
苍,cang1,7,26699,2560,0.8250111076933593,10431,6002,5381,4174,2523,732,32.495,29.278,25.746,20.164,15.018,8.133,21.806,4.641950880013253,46.81882785720257,4.320401073585947,2.75,2.8,2.8
沧,cang1,7,4272,177,0.9204315576534052,1133,574,774,916,705,352,3.53,2.8,3.703,4.425,4.196,3.911,3.761,5.32230181852549,8.74637443486202,5.011156907969016,3.125,3.1,2.9
藏,cang2,17,4772,13635,-0.4815016026511653,7030,2311,2258,3523,2759,575,21.9,11.273,10.804,17.019,16.423,6.389,13.968,4.824836225508046,157.30611667406248,3.8005023044271438,2.3125,2.4,2.9
操,cao1,16,27569,2056,0.861198312236287,2597,1728,3835,10394,9200,1852,8.09,8.429,18.349,50.213,54.762,20.578,26.737,4.556940513482716,120.45558320953354,3.9155825162531785,2.125,2,2.5
曹,cao2,11,9625,2641,0.5693787705853579,1378,964,1237,2495,3383,2804,4.293,4.702,5.919,12.053,20.137,31.156,13.043,4.8525401041528955,60.83875158367258,4.208739286647864,3,2.8,3.1
草,cao3,9,11736,41840,-0.561893385097805,16045,7534,4712,7694,13573,4098,49.984,36.751,22.545,37.169,80.792,45.533,45.462,4.332902099523538,310.94647347469015,3.505919919663813,2.0625,2.2,2
策,ce4,12,98477,10271,0.8111045720381065,14322,9061,11803,19984,36493,17142,44.617,44.2,56.474,96.541,217.22,190.467,108.253,3.9615666288146802,266.37855080293,3.5728734349257762,3.8125,3.4,4
岑,cen2,7,34318,42598,-0.10764990379114879,14349,6923,7304,15955,20405,11951,44.701,33.771,34.947,77.077,121.458,132.789,74.124,4.1242212959858415,4.887679831246423,5.230055814720753,3.6875,3.2,3.4
